sensor_1,sensor_2,weight,pearson_corr,spearman_corr
42,41,102.5,0.8226995399129167,0.7354740014439274
42,40,40.7,0.8970450995305932,0.8646458127209046
42,117,58.9,0.7725888794491109,0.7550143462887166
43,100,338.9,0.9412386859834181,0.9258902631468757
44,41,350.8,0.8385158948591244,0.7482855985000227
44,169,397.8,0.8262038387008184,0.8170253004963979
44,124,375.7,0.9192648732298985,0.8985310364705458
44,42,342.3,0.9295408178593502,0.9200802104683256
44,8,789.1,0.888360135983281,0.8536295463965908
45,93,340.9,0.9572451498962408,0.9512667972021133
45,93,340.9,0.9572451498962408,0.9512667972021133
45,106,260.6,0.5290929538046856,0.556878556761998
46,152,385.7,0.9594979836428761,0.9389773784222489
46,162,391.6,0.7335724422978922,0.7515582343833564
47,65,372.8,0.9403965105814537,0.9303360438212018
48,49,309.7,0.7926407162341877,0.7856884067872917
49,54,320.5,0.7703269445166914,0.7713281240276058
50,74,354.1,1.0,1.0
51,73,391.1,0.9999815048889091,0.9999475454025045
52,3,357.8,0.9410870657087593,0.8706715235931045
52,30,186.6,0.5786996473574941,0.5179225472830389
53,150,278.9,0.8240418425604895,0.8256906602451283
54,56,318.3,0.7664146379121535,0.6992030377873557
55,53,332.1,0.9265589624628652,0.8822859418849204
56,57,297.9,0.9184120281871186,0.8650735891838853
57,68,293.5,0.8765720328655212,0.8663389142448877
58,67,294.4,0.9512660165099402,0.9431534135080831
59,58,305.7,0.9328648610863044,0.9274218303866397
60,17,305.9,0.7163213731413093,0.7182458999416587
61,64,311.4,0.7952982467589244,0.6999307973033797
62,111,332.9,0.9338185161193132,0.8967775207321234
62,70,332.6,0.9999672691099285,0.9999174759963193
64,63,243.6,0.614768684121494,0.6096051072557254
65,48,319.4,0.8748379740657608,0.8209591643757423
65,72,297.9,0.9455266117733367,0.921585738366319
65,72,297.9,0.9455266117733367,0.921585738366319
66,55,313.3,0.9375964539935223,0.8995041512037416
67,66,299.5,0.9495472753331624,0.9302524132461704
68,69,342.5,0.6707907629826517,0.6343759076028387
69,60,318.0,0.6746444509454068,0.6840820248643714
70,59,388.2,0.8593791368583321,0.8329900166462514
71,61,89.6,0.8578167186923856,0.770327851522527
71,61,89.6,0.8578167186923856,0.770327851522527
72,159,342.9,0.870781076192489,0.8249949203467074
72,48,21.5,0.870790912133357,0.825067760512328
72,162,3274.4,0.7772939513574938,0.7873529148474868
72,48,21.5,0.870790912133357,0.825067760512328
73,71,289.3,0.8578667106587916,0.7703652543766085
74,82,350.2,0.9086466255834382,0.8646050806273587
75,51,384.8,1.0,1.0
76,36,366.1,0.937822004136071,0.9272628650988209
77,52,354.2,0.9547366204916877,0.9152638240742618
77,14,299.8,0.8926321773375299,0.8048693835332803
77,22,353.8,0.8926798521212168,0.8194126899211571
78,46,353.4,0.42209293816552074,0.2859696764057078
78,107,143.9,0.15098456894856221,0.13814338323029984
79,95,335.7,0.9077945166882595,0.9052388573508225
80,79,384.1,0.837524056301964,0.8110451916403145
81,99,391.6,0.8935794244523886,0.8418870611254238
82,81,335.4,0.9086796432712542,0.864521301062624
83,87,327.2,0.898196993170534,0.8594173836788499
84,13,306.4,0.8451187493142724,0.714478921935332
85,90,347.0,0.9240733062235064,0.88655034929428
85,37,373.2,0.7923059836054271,0.7584670135307178
86,78,473.8,0.45373588228347433,0.3276629007756009
87,88,321.0,0.8402642789229812,0.845489269819472
88,75,335.8,0.8835172008652127,0.8954229064418774
89,147,347.0,0.7880991280483134,0.8093365026107815
89,92,323.2,0.6542215395429047,0.6490730979398701
90,132,152.2,0.639950161750642,0.7468962569626135
90,132,152.2,0.639950161750642,0.7468962569626135
91,89,405.6,0.9545956523720419,0.9179582724648782
91,163,313.6,0.7176654050218283,0.6537424312924017
91,163,313.6,0.7176654050218283,0.6537424312924017
92,37,336.3,0.9033767540839059,0.9281625412739828
92,85,343.9,0.6579161548214506,0.667163106092189
92,147,321.9,0.5880888686195015,0.6413563987393374
93,80,329.9,0.9081552316406836,0.9016757858077713
93,106,112.2,0.519769128154264,0.5610863764124361
94,86,337.1,0.9290016755421344,0.9135494859551256
95,98,320.9,0.938444253387533,0.9316100060638864
95,98,320.9,0.938444253387533,0.9316100060638864
96,94,398.2,0.9228078597662152,0.9109481940007896
97,101,380.7,0.9610530521579909,0.9556879233619671
98,119,340.3,0.9276239465164587,0.9105771399833227
98,144,45.1,0.7494836634473702,0.7501645904060482
99,84,354.9,0.8935794244523886,0.8418870611254238
100,83,347.9,0.9254099804140685,0.9054336109428478
101,137,361.4,0.9305812866061478,0.9095855422955854
101,19,534.4,0.8845004878083299,0.8509115006080485
101,29,252.3,0.5716857594477559,0.5466185474697856
102,24,375.5,0.95122772432683,0.9490601799102576
103,23,376.3,0.6322948225104043,0.5978067328509783
104,148,362.1,0.9145672354871351,0.9039585408754552
104,147,277.5,0.7965414416375055,0.8246658414270035
104,108,375.9,0.7751176040441676,0.8296516672969507
105,104,386.9,0.9001898429599838,0.8977037728074349
106,131,166.5,0.5806343917896613,0.5828020078199714
106,93,112.2,0.519769128154264,0.5610863764124361
107,105,354.6,0.7279712594612581,0.728595838950635
107,46,236.3,0.6349900760149196,0.6386154729606422
108,146,317.8,0.6180441669423312,0.7001016370958303
108,45,359.8,0.8664111443392402,0.9041256279578128
108,148,311.6,0.7027041449522017,0.7502261122631235
109,161,355.5,0.896762006986398,0.8567446839598611
109,22,135.5,0.9369237547487762,0.8486853627602648
110,160,102.0,0.8429613171160258,0.8021358990842707
111,11,324.2,0.960527858207573,0.9296612734134704
112,8,469.4,0.8992835816404902,0.8778879214095264
113,116,411.9,0.7277900295515992,0.7344254600401605
114,113,351.6,0.8646229204503155,0.8425446954318021
115,112,328.1,0.866078415116856,0.8435926850095024
116,144,262.0,0.9622685810467642,0.9613128339706999
117,125,397.1,0.7267927643042548,0.6897847287241343
117,40,64.0,0.8227991902338605,0.7756133585072339
118,96,296.7,0.8656649069646745,0.8450700849476354
118,145,250.6,0.7625686763136154,0.7634741355474718
118,145,250.6,0.7625686763136154,0.7634741355474718
119,120,376.8,0.9670332829276383,0.9612834396928842
120,122,393.1,0.8767407293942586,0.8264784288228892
121,140,385.2,0.7892157317872213,0.8235750898757088
122,141,428.7,1.0,1.0
123,121,326.3,1.0,1.0
124,7,763.3,0.8756005836148916,0.8087870552710394
124,13,460.7,0.8450599670364203,0.7145172142587369
124,169,145.2,0.8625175872381751,0.8565631196884189
124,169,145.2,0.8625175872381751,0.8565631196884189
124,41,243.9,0.8874524699876154,0.749189122286048
125,127,372.7,0.8073116917748289,0.7901127725696925
126,124,384.3,0.9271975267001028,0.8831783148397108
127,109,380.5,0.8147546407652672,0.7914181617128732
127,39,280.4,0.7860639525925263,0.7648193883807545
127,18,425.2,0.8264994046233186,0.8096148911120103
128,153,215.0,0.6937750232261228,0.6880358780167737
128,10,88.2,0.7997589251447139,0.763054663954885
129,156,256.1,0.9422127059105281,0.9410754229665683
129,153,219.6,0.6697303543427334,0.6996833541689108
130,106,532.3,0.5184176372683307,0.5399899127887191
132,134,386.9,0.48761346710562326,0.6759072383888096
133,163,337.1,0.9394271704130619,0.9402602483274861
133,91,152.8,0.6961089707658329,0.6614751930770768
133,91,152.8,0.6961089707658329,0.6614751930770768
134,136,350.2,0.8640284056465566,0.881846718050154
135,133,387.9,0.7677713012666967,0.8282538368330875
137,102,365.5,0.8820512568918026,0.8585916695381914
138,135,354.7,0.7858027564958316,0.8319404030501382
139,168,412.6,0.7152239234587539,0.6279762086485109
140,118,393.0,0.9075493375981996,0.9227825177014534
141,142,359.3,1.0,1.0
143,10,6.3,0.9401278455787487,0.9278717470469277
143,128,81.9,0.8161475839054738,0.7761823820973
144,98,45.1,0.7494836634473702,0.7501645904060482
145,115,399.4,0.8397441496483065,0.836623114669692
145,96,85.1,0.7225003663842299,0.7157673027069488
145,96,85.1,0.7225003663842299,0.7157673027069488
146,85,376.6,0.7945799324631796,0.8106238916141304
146,92,311.2,0.49639460348567793,0.5451368067483241
147,15,351.7,0.7791124765556668,0.7972565485353742
147,37,48.2,0.6776383991902232,0.7028923314860758
147,148,84.7,0.7841068679847858,0.8130036262559758
148,97,316.3,0.9220860244813543,0.9114256395109083
148,146,80.0,0.8527225140991189,0.8420861950291126
149,126,388.0,0.925156481183223,0.8817404424863522
149,39,206.9,0.9369390361069306,0.8997484354052705
150,61,308.4,0.8250086047280893,0.8106760525409583
150,71,221.1,0.810509377959604,0.8002934178631881
150,71,221.1,0.810509377959604,0.8002934178631881
151,45,358.8,0.9518998315403252,0.9385655692428728
151,108,192.9,0.8334460722621653,0.8576661803923542
151,44,203.1,0.9016073277605977,0.8962336859911876
152,157,350.0,0.9594104979472317,0.9441397149896432
152,44,204.6,0.9237429979681481,0.908824202327472
152,108,191.4,0.7156229767646775,0.7467576584837411
153,62,330.9,0.7527010381809411,0.7500952720104497
153,5,256.3,0.6931080568963344,0.6586108899939153
153,62,330.9,0.7527010381809411,0.7500952720104497
153,167,269.7,0.7267263364683817,0.7221031906131782
154,143,370.7,0.5553705858763829,0.5737400499147454
154,5,166.3,0.6199255819755226,0.6113030604386182
155,34,320.4,0.3770401551302928,0.7058744225496437
156,33,329.1,0.830433863294352,0.8637434497676925
157,35,354.4,0.9454128343962382,0.9224018094973659
158,151,350.1,0.9680486883681875,0.9632197926222901
159,50,383.3,0.9999815048889091,0.9999475454025045
160,155,272.4,0.3117249596281987,0.5271065537278568
161,110,367.7,0.9103366192713851,0.8587568951458985
162,108,301.9,0.836244809373862,0.8549762776069172
162,151,113.6,0.8411172173129732,0.8457256345717378
162,13,554.5,0.625107701957755,0.5801148277693171
162,40,413.9,0.735405079232506,0.7477387308205442
162,152,115.3,0.7515132056604427,0.7624419594359325
163,20,352.0,0.9555688240415967,0.9408012287889679
164,167,365.2,0.947510452881653,0.9305675395692696
165,38,381.0,0.8338733283254721,0.8184498254071096
165,29,41.7,0.7637531627726751,0.7744618321134681
165,19,289.2,0.594750269090113,0.5893510243600979
167,70,359.0,0.9401093857974143,0.9078082834633537
167,62,64.8,0.9400213467673417,0.9077363165130637
167,154,165.2,0.6119179488577596,0.611054870912687
168,154,337.3,0.6406402242624119,0.6118886087219626
168,167,172.4,0.8642929907709606,0.8004213400149841
168,17,232.7,0.8851557355863326,0.7968994815533325
169,40,96.1,0.8023769426476116,0.781036478843062
169,7,631.5,0.8401135914401886,0.8147382887058192
169,7,631.5,0.8401135914401886,0.8147382887058192
169,41,124.0,0.8070145523539605,0.7635627723014462
